AZTECA'S BAKERY,Commercial Bakeries,"(909) 631-7340 713 S VINE AVE ONTARIO, CA 91762",,"BERNAL, SOTERO"
BARNUM & CELILLO ELECTRIC INC,Electrical Contractors,"(916) 646-4661 135 MAIN AVE SACRAMENTO, CA 95838",,"BARNUM, FRED"
BROCKMANN BROS,Commercial And Institutional Building Constructi (951) 359-4150,"8611 CALIFORNIA AVE RIVERSIDE, CA 92504",,"BROCKMANN, ED"
BWR HEATING & COOLING INC,"Plumbing, Heating, And Air-Conditioning Contrac(951) 377-6333","219 GULFSTREAM LN NORCO, CA 92860",,"WEAVER, BRIAN"
C ONORATO TRUCKING,Other Support Activities For Road Transportation(909) 758-3031,"138 N 12TH AVE # B4 UPLAND, CA 91786",,"ONORATO, CARMINE"
C.A.D. ELECTRIC,Electrical Contractors,"(951) 489-7223 15781 PATRICIA ST MORENO VALLEY, CA 92551",,"GARCIA, JESSE"
CAL-STATE SITE SERVICES,Fence And Toilet Rentals Contractors,"(805) 527-6500 4518 INDUSTRIAL ST SIMI VALLEY, CA 93063",,"MODLIN, RICHARD"
CASCADA DRILLNG LP,All Other Specialty Trade Contractors,"(909) 931-4014 5566 ARROW HWY MONTCLAIR, CA 91763",,"SMITH,TIMOTHY"
CHAPIN HCJ ELECTRIC INC,Electrical Contractors,"(562) 928-8276 9811 RICHEON AVE DOWNEY, CA 90240",,"OVALLE, EDILMER (President)"
CHISELED FACE GROOMATORIUM,"Cosmetics, Beauty Supplies, And Perfume Stores (909) 235-6665","521 N EUCLID AVE ONTARIO, CA 91762",,"WIEBE, RONALD (PRES)"
CORPORATE PACKAGING AND PROMOTIPackaging And Labeling Services,,"(909) 309-0002 1555 S ARCHIBALD AVE ONTARIO, CA 91761",,"KENT, JODY"
CRYSTAL CLEAN SERVICES,Janitorial Services,"(702) 505-6083 2000 WHITON ST LAS VEGAS, NV 89156",,MICHELLE DEAN
CSI CONSTRUCTION,Commercial And Institutional Building Constructi (949) 380-3900,"9272 JERONIMO RD STE 116 IRVINE, CA 92618",,"HALL, JOE"
CUMMINGS ELECTRICAL L.P.,Electrical Contractors,"(817) 355-5300 14900 GRAND RIVER RD STE 124 FORT WORTH, TX 76155",,"GATENBY, MARTY (CEO)"
D.L. HANN CONSTRUCTION CO,Commercial And Institutional Building Constructi (714) 724-2390,"8625 CENTRAL AVE STE D STANTON, CA 90680",,"HANN, DERRYL"
DECAR CONSTRUCTION,Remodeling And Flooring Contractor,"(909) 200-7284 8780 19TH ST # 252 ALTA LOMA, CA 91701",,"DEZARI, DAVE"
DELIGHT FLATWARE,Office Administrative Services,"(626) 271-6425 ONTARIO, CA 91762",,"LACESNE, ESTELA"
"DEVELOPMENT SUPPORT SERVICES, INCCommercial And Institutional Building Constructi (714) 957-8250",,"3002 DOW AVE STE 316 TUSTIN, CA 92780",,"SMITH, MICHAEL (PRESIDENT)"
ECO GREEN AIR,"Plumbing, Heating, And Air-Conditioning Contrac(815) 849-6077","14141 COVELLO ST STE 513 VALLEY GLEN, CA 91405",,"RUKCHIN, GIL"
ELDERBERRY ONTARIO LLC,Residential Property Managers,"(626) 693-9547 251 N ELDERBERRY AVE ONTARIO, CA 91762",,"LIN, GRANT"
ELIM ACCUPUNCTURE CLINIC INC,Offices Of Physicians (Except Mental Health Spec(562) 697-7154,"4345 E LOWELL ST STE A ONTARIO, CA 91761",,"KIM, DAMIEN"
"ESPANTMAN, MARTA",Residential Property Managers,"(626) 475-8189 1018 N SACRAMENTO AVE ONTARIO, CA 91764",,"ESPANTMAN, MARTA"
"ETC BUILDING & DESIGN, INC.","Plumbing, Heating, And Air-Conditioning Contrac(858) 554-1150","6805 NANCY RIDGE DR SAN DIEGO, CA 92121",,"ESSRIG,MICHAEL"
EV CONNECT INC,Motor And Generator Manufacturing,"(310) 751-7997 615 N NASH ST STE 203 EL SEGUNDO, CA 90245",,"HUGHES, DAVID (VP)"
FOLK INN TRAVEL AND VACATION LLC,Marketing Consulting Services,"(626) 248-6433 204 N VINEYARD AVE ONTARIO, CA 91764",,"LIU, ASHLEY"
"FOREST SERVICES, INC",Commercial And Institutional Building Constructi (425) 432-0437,"27018 233RD PL SE MAPLE VALLEY, WA 98038",,"PIERRE, PETER"
"GNA FIRE ELECTRIC, INC.",Fire Protection,"(626) 335-1065 117 S VERMONT AVE # B GLENDORA, CA 91741",,"SMITH, HUGH"
GOLDEN INCOME INV. LLC,Residential Property Managers,"(909) 518-0753 1053 HOLLOWELL ST ONTARIO, CA 91762",,"FAGUNDES, JOE"
"GREAT LAKES TECHNOLOGIES, LLC",Hardware Merchant Wholesalers,"(847) 429-9263 1260 S VINTAGE AVE ONTARIO, CA 91761",,"WANG, LARRY Q"
H.D.C. CONSTRUCTION INC,Commercial And Institutional Building Constructi (909) 626-6214,"4603 BROOKS ST STE 4 MONTCLAIR, CA 91763",,"HUIZAR, JUNIOR"
HANGER CLINIC,All Other Health And Personal Care Stores,"(909) 740-3820 2930 INLAND EMPIRE BLVD STE 110 ONTARIO, CA 91764",,HANGER CLINIC
"HANNING & SACCHETTO, LLP",Offices Of Lawyers,"(909) 456-1400 3200 E GUASTI RD STE 100 ONTARIO, CA 91761",,"SACCHETTO, MICHAEL"
HERCULES PLUMBING INC.,"Plumbing, Heating, And Air-Conditioning Contrac(562) 415-7503","6988 COOLIDGE AVE RIVERSIDE, CA 92506",,"REVELES, SALVADOR"
HNTB CORPORATION,Engineering Services,"(816) 472-1201 3633 INLAND EMPIRE BLVD STE 750 ONTARIO, CA 91764",,"DENSON, CRAIG (SECRETARY)"
HOME RENEW 360,Commercial And Institutional Building Constructi (800) 562-0530,"3711 LONG BEACH BLVD STE 201 LONG BEACH, CA 90807",,"BEN HAIM, URI"
HRG TRANSPORT INC,"Corporate, Subsidiary, And Regional Managing O (909) 522-4050","2990 INLAND EMPIRE BLVD STE 103 ONTARIO, CA 91764",,"GONZALEZ, JOSE"
"",,City of Ontario,,
"",,Revenue Department,,
"",,Business License Listing - February 2017,,
Business Name,Business Description,Business Phone Address,City,Business Owner
HYDRO BACKFLOW,Plumbing Fixture Fitting And Trim Manufacturing(844) 554-9376,1418 S AZUSA AVE UNIT 4055,"WEST COVINA, CA 91791","VILLEGAS, ALEXANDER"
IPS PACKAGING,General Warehousing And Storage,(864) 862-1500 1495 ARCHIBALD AVE,"ONTARIO, CA 91764","MURDOCK, JERRY"
"IVOLT, INC.",Electrical Contractors,(323) 428-0912 119 E MOUNTAIN ST,"GLENDALE, CA 91207","DEGERYAN, ARTHUR"
JESS CLEANED HOME AND OFFICE,Office Administrative Services,(909) 952-4766 1541 N HOPE AVE APT A,"ONTARIO, CA 91764","ROMERO, JESSICA"
JIS BROTHERS CONSTRUCTION,Commercial And Institutional Building Constructi (626) 257-0849,17921 ROWLAND ST,"CITY OF INDUSTRY, CA 91748","LI, YUE"
JOSE OSVALDO TORRES,Nonresidential Property Managers,(951) 205-5085 523 E HOLT BLVD,"ONTARIO, CA 91761","TORRES, JOSE OSVALDO"
JRM CONSTRUCTION MANAGEMENT WECommercial And Institutional Building Constructi (949) 480-3410,,959 S COAST DR,"COSTA MESA, CA 92626","JACKSON, JOHN"
KING SOLARMAN INC,Residential Electric Lighting Fixture Manufacturin(408) 373-8800,1261 S GROVE AVE,"ONTARIO, CA 91761","CUNG, MICHAEL"
KONIG GMBH,Investment Advice,(760) 524-6457 3500 PORSCHE WAY STE 115-B,"ONTARIO, CA 91764","CHA ZIB, TOK"
LANA SUBSURFACE ENGINEERING,General Contractor,(909) 767-5315 12620 MAGNOLIA AVE,"RIVERSIDE, CA 92503","CASTRO, ERICK"
LANCE BOND INSTALLATION INC,Commercial And Institutional Building Constructi (909) 838-9551,2341 WALNUT ST,"SAN BERNARDINO, CA 92410","BOND, LANCE"
LEMUS PATIO COVERS,Awning And Patio Contractor,(951) 281-9045 863 LORNA ST,"CORONA, CA 92882","LEMUS, FREDDY"
LEON LIN,Residential Property Managers,(626) 616-5366 1005 W E ST,"ONTARIO, CA 91762","LIN, LEON"
LEYVA DESIGN,Architectural Services,(909) 635-9484,"ONTARIO, CA 91764","LEYVA, AUGUSTINE O."
LINDA HUMPHREY - GOES,Residential Property Managers,(909) 986-2165 119 E SUNKIST ST,"ONTARIO, CA 91761","GOES, LINDA"
LINDA HUMPHREY - GOES,Residential Property Managers,(909) 986-2165 532 S LEMON AVE,"ONTARIO, CA 91761","GOES, LINDA"
M.M. WINDOW TINT,Automotive Glass Replacement Shops,(909) 238-3315 573 HIGHLAND CT,"UPLAND, CA 91786","MALDONADO, HECTOR"
MAJESTY CONSTRUCT,Commercial And Institutional Building Constructi (818) 288-2828,11649 FENTON AVE,"SYLMAR, CA 91342","BLANCO, ROBERT"
MARIA ARAIZA,Residential Property Managers,(909) 815-4572 1026 W G ST,"ONTARIO, CA 91762","ARAIZA, MARIA"
MAZ CONSTRUCTION,Commercial And Institutional Building Constructi (626) 698-5123,455 W RAMONA BLVD,"SAN GABRIEL, CA 91776","ZAMORA, MARCO A."
MEI.SYSTEM,Telemarketing Bureaus,(630) 521-8588 3281 E GUASTI RD STE 706,"ONTARIO, CA 91761","FARE, EMANUELE"
MERIT BUILDING SPECIALTIES,Installation Toilet Partitions And Toilet Accessori(949) 588-0700,33821 CALLE CONEJO,"SAN JUAN CAPISTRANO, CA 92675","STIPHER,MICHAEL"
MGR PROPERTY MANAGEMENT,Nonresidential Property Managers,(909) 581-6600 3633 INLAND EMPIRE BLVD,"ONTARIO, CA 91764","RADEMAKER, MICHAEL S"
MGR PROPERTY MANAGEMENT,Nonresidential Property Managers,(909) 581-6600 3800 CONCOURS,"ONTARIO, CA 91764","RADEMAKER, MICHAEL S"
MGR PROPERTY MANAGEMENT,Nonresidential Property Managers,(909) 581-6600 4141 INLAND EMPIRE BLVD,"ONTARIO, CA 91764","RADEMAKER, MICHAEL S"
MGR PROPERTY MANAGEMENT,Nonresidential Property Managers,(909) 581-6600 4200 CONCOURS,"ONTARIO, CA 91764","RADEMAKER, MICHAEL S"
MIMO STYLE HOMEGOODS PLUS INC,Other Commercial Equipment Merchant Wholesa(909) 923-9602,1900 PROFORMA AVE STE J,"ONTARIO, CA 91761","LU, E"
MINSLEY INC,General Warehousing And Storage,(909) 458-1100 909 S MONTEREY AVE,"ONTARIO, CA 91761","SONG, TAE JIN"
MINSLEY INC,Nonresidential Property Managers,(909) 458-1100 909 S MONTEREY AVE,"ONTARIO, CA 91761","SONG, TAE JIN"
"OPORTUN, INC",Consumer Lending,(650) 353-1180 2448 S VINEYARD AVE UNIT 109,"ONTARIO, CA 91761","HARVEY, SCOTT"
OWL FISH,Women'S Clothing Stores,(213) 623-3585 1 MILLS CIR STE 318A,"ONTARIO, CA 91764","CHUN, SUNG HEE"
PACIFIC BEND INC,Installation And Engineering Of Rack System,(909) 793-5914 1700 E COLTON AVE,"REDLANDS, CA 92374","BARRIOS, DARLENE"
PACIFIC SKY SOLAR,Solar Contractor,(877) 237-6477 6617 INDEPENDENCE AVE,"CANOGA PARK, CA 91303",PAGUS. RAFAEL
PANORAMA VISION INC.,Electrical Contractors,(855) 686-4766 6550 VAN BUREN BLVD STE B,"RIVERSIDE, CA 92503","MITCHELL, TYROL (COO)"
PASADENA STREET ENGINEERING INC,Pipeline Contractor,(909) 865-7778 535 E PASADENA ST,"POMONA, CA 91767","RUIZ, ROBERT"
"PHELPS HEATING AND AIR CONDITIONINPlumbing, Heating, And Air-Conditioning Contrac(951) 966-7073",,2344 ROXBURY DR,"SAN BERNARDINO, CA 92404","PHELPS, JEFFORY"
PLANNING CLOUD NINE,Office Administrative Services,(909) 802-0964,"ONTARIO, CA 91762","GRUEZO, NINA"
PSR WEST COAST BUILDERS,Commercial And Institutional Building Constructi (925) 299-0518,3458 MT DIABLO BLVD,"LAFAYETTE, CA 94549","SCHADEK, PETER"
PUGLLESE INTERIOR DESIGN,Flooring Contractors,(949) 837-1208 30182 ESPERANZA,"RANCHO SANTA MARGARITA, CA 92688","ANAWAIT,GENE"
QUICK PRO MOBILE NOTARY,All Other Legal Services,(661) 348-1102 8389 BAKER AVE SPC 54,"RANCHO CUCAMONGA, CA 91730","AMOROSINO, FRANCESCA"
RADIANCE ELECTRIC IN,Electrical Contractors,(562) 305-9923 9849 EVEREST ST,"DOWNEY, CA 90242","BREAULT, EUGENE"
RANCHO CLINICA MEDICA FAMILIAR,Offices Of Physicians (Except Mental Health Spec(951) 204-0909,1871 E 4TH ST,"ONTARIO, CA 91764","SURA, ANJANA"
ROYALE,"Cosmetics, Beauty Supplies, And Perfume Stores (832) 470-5786",1 MILLS CIR STE 162,"ONTARIO, CA 91764","NAHMIAS, ERAN"
SAFETY INVESTMENT COMPANY,Other Activities Related To Real Estate,(909) 673-0777 1121 E PHILADELPHIA ST,"ONTARIO, CA 91761","KERFOOT, WILLIAM A"
SANTANA CONSTRUCTION ENTERPRISE Office Administrative Services,,(909) 226-8520 637 E H ST,"ONTARIO, CA 91764","SANTANA, LAZARO"
SGL GLOBAL,Tobacco And Tobacco Product Merchant Wholes (626) 321-7189,1500 S MILLIKEN AVE,"ONTARIO, CA 91761","LIU, CHUAN (CEO)"
SHOR CONSTRUCTION INC,Roofing Contractors,(866) 982-7467 16022 ARMINTA ST STE 2,"VAN NUYS, CA 91406","SCHRAGER, ROYE"
SJ CIMINO ELECTRIC,Electrical Contractors,(707) 542-6231 3267 DUTTON AVE,"SANTA ROSA, CA 95407","CIMINO, SJ"
SOUTHLAND ELECTRIC,Electrical Contractor,(714) 390-8568 2274 W SEQUOIA AVE,"ANAHEIM, CA 92801","RIOS, DOMINGO"
"",,City of Ontario,,
"",,Revenue Department,,
"",,Business License Listing - February 2017,,
Business Name,Business Description,Business Phone Address,City,Business Owner
STRAIGHT-UP CAD,Office Administrative Services,(909) 904-5434 1235 E D ST UNIT 2,"ONTARIO, CA 91764","HERNANDEZ, JOE"
SURESITE CONSULTING GROUP LLC,Radio And Television Broadcasting And Wireless (626) 524-4247,3659 GREEN RD,"BEACHWOOD, OH 44122","WORSAN, JERALD"
TEN BEARS GRAPHICS,Clothing Accessories Stores,(909) 570-7215 1 MILLS CIR,"ONTARIO, CA 91764","FRUTOS, ERIC"
TRACKER BOAT CENTER,Other Personal And Household Goods Repair And(417) 873-5598,4710 E GUASTI RD STE B,"ONTARIO, CA 91761","HAGALE, JAMES A"
TRICOM NETWORKS,Commercial And Institutional Building Constructi (951) 698-4900,24335 PRIELIPP RD STE 109,"WILDOMAR, CA 92595","KELLY, JOHN"
"TRI-SIGNAL INTEGRATION, INC.",Fire Protection,(818) 566-8558 15853 MONTE ST STE 101,"SYLMAR, CA 91342","FURDEN, DENNIS (CFO)"
TTG ENGINEERS,Engineering Services,(909) 477-6915 901 VIA PIEMONTE STE 400,"ONTARIO, CA 91764",IMEG CORP
"VEHICLE ENFORCEMENT AGENCY, INC.",Motor Vehicle Towing,(909) 622-8883 1092 S RESERVOIR ST,"PHILLIPS RANCH, CA 91766","STROBLE, STEVEN"
ZHENG TAO,Residential Property Managers,(626) 899-0888 1411 E NOCTA ST,"ONTARIO, CA 91764","ZHENG,TAO"
ZTER INC,Temporary Help Services,(832) 698-2203 13727 OFFICE PARK DR,"HOUSTON, TX 77070","FARLEY,JON"
